no	Hotel name	rating	user type	room type	nights	review
1413	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 4 ليالي	"“تجربة سيئة”. . أكدت حجزي عن طريق بطاقة إتمانية "" فيزا ""وتم حسم المبلغ المستحق للفندق بالكامل قبل ٢٤ ساعة من الحضور ..وعند وصولي طُلب مني بطاقة الإتمان أو الدفع "" كاش "" !!وهذا خطأ كبير تسبب لي في إرباك ميزانية الرحلةخصوصاً وأن حجزي كان لشقتين ."
1415	أبيدوس للشقق الفندقية دبي لاند	2	مسافر منفرد	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	“فاشل ابيدوس”. شقق فندقيه سيئه. كل حاجه
1418	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	-	أقمت 4 ليالي	“بعيد عن المواقع السياحية ومستوى النظافه ليس بالشكل المطلوب”. الغرف واسعه ومواقف السيارات فقط.. بعد الموقع عن جميع المواقع السياحية. الاثاث قديم جدا .الطاقم ودود ومتعاون ولكن ضعف الامكانات لاتسمح لهم بتقديم الخدمات. لايوجد مساج بالفندق. ازعاج الشقق المجاوره وعدم وجود عوازل للشقق. لايوجد مطاعم بالقرب من الفندق والمطاعم القريبه اكثرها هندية. رائحة المكان والغرف سيئة . اقمت بهاالفندق اربعه يام انا والعايلة ولا انصح بالسكن فيه مره اخرى.
1424	أبيدوس للشقق الفندقية دبي لاند	5	زوج	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	“راحة وهدوء”. كل شيء الا الاستقبال. استقبال الموظفين
1425	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت 3 ليالي	“زياره عابرة”. كل شي. لا شي
1429	أبيدوس للشقق الفندقية دبي لاند	4	-	-	أقمت 5 ليالي	“رائع”. كل شي في الفندق رائع. الموقع بعيد قليلا لأن الفندق يقع في دبي لاند طريق العين لكن اذا توفرت السيارة لايوجد مشكلة ايضا بامكان الاستقبال طلب تاكسي للنزيل
1432	أبيدوس للشقق الفندقية دبي لاند	5	مسافر منفرد	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	“إقامة ممتعة”. بشكل عام كل شي ممتاز. إجراءات تسجيل الوصول بطيئة جداً
1439	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت ليلة واحدة	جيد جداً. النظافه و الهدوء الشقه واسعه. حجزت بالبوكنق وانا عميل مميز وتم احتساب رسوم المدينة 20 درهم مع انه في الحجز لم تحتسب .تحتاج سياره لبعدها عن التكاسي و دبي
1442	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 4 ليالي	“سكن غير متوقع”. لا شيء. الموقع والأفكار والشقة عادية جدا
1455	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	-	أقمت 6 ليالي	ضعيف. . الواي فاي المفروض يكون لجميع الافراد وليس ل 3 اشخاص
1465	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	شقة من غرفة نوم واحدة	أقمت 4 ليالي	ضعيف. المكان الفندق بعيد بعيد بعيد جداً المكان الفندق بعيد بعيد بعيد جداً. 
1472	أبيدوس للشقق الفندقية دبي لاند	2	زوج	شقة من غرفة نوم واحدة	أقمت ليلتين	ضعيف. الغرفة والسرير  جيدة والحمام  أكرمكم  الله نظيف  وجيد. أول شيء تأخير في الاستقبال وأسلوب  الموظف  الهندي  ليس جيد يتكلم بطريقة ليست جيدة  - إزعاج  الشارع  الي برع بشكل كبير -الإضاءة ليس جيدة -باركنات  السيارات  ضيق  في القبو  ولا أنصح  أحد بدخول  له ولكن لايوجد  مواقف  خارج  الفندق  والي يبا  يدخل القبو  لا يدخل  سيارته  اول شيء يدخل  ويشوف  بنفس  اذا سيارة  جديدة  بيندم  طول عمرة  انه دخل الموافق  الأرضية 
1481	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 7 ليالي	جيد. الفندق مناسب جدا للعائلة ... سهولة الوصول الى اهم المجمعات التجارية مثل دبي مول و مردف و غيره. لا يوجد
1482	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	ضعيف. سعة الشقه. رائحة الشقه والاستقبال والبعد عن دبي اقرب للعين
1487	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	شقة من غرفة نوم واحدة	أقمت ليلتين	“سيء جدا”. سعة الغرف. الفنادق خارج دبي بعيد جدا مسافه نص ساعه وفي مكان مهجور وطاقم الاستقبال سيء بس حرمه تستقبل وترد على المستاجرين بالهاتف وصار غلط منهم اخذت المبلغ والفندق فل اخر يوم جداااااااً فوضى الفندق
1492	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	مخيب للأمل. . لم يعجبني عند دخولي إلى الفندق تبين عطل في باب دخول الفندق الاتوماتيك والشي الآخر عند دخولي إلى الغرفه تبين عطل في ليت الإضاءة والحمام وسط الحمام يقطر ماء والشي الآخر عند ذهاب في وقت المساء طلبت بطاقه أخرى الي الغرفه أعطاني الموجوده بطاقه بدون اي تردد مع العلم انه لم ترني من الصباح ولم تطلب مني إثبات هويه حتى تعطيني بطاقه أخرى
1498	أبيدوس للشقق الفندقية دبي لاند	5	مسافر منفرد	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	“روعة”. . خدمة المطعم
1502	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت ليلة واحدة	جيد جداً. نظافة الموقع وتعامل الموظفين. موقع الفندق وعدم وجود لوحات ترشد للموقع
1509	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	شقة من غرفة نوم واحدة	أقمت 8 ليالي	“ممتاز”. رائع. 
1513	أبيدوس للشقق الفندقية دبي لاند	2	زوج	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	مخيب للأمل. . لم يعجبني الازعااااااااج لم استطع النوم
1517	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 9 ليالي	“رائع للذين لديهم سيارة لتنقل”. الموقع بعيد عن وسط المدينه لكن نظيف وواسع ومناسب للعوائل ويوجد بقالة متكامله ومطعم للبيتزا.. البعد عن وسط المدينة
1520	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت 3 ليالي	“يستحق الاشادة”. من اروع الشقق الفندقية اللتي سكنت فيها. عائلي بالدرجة الاولي. النظافة والالوان وكبر حجم الشقة كانت مرييحة للغاية.كما يوجد في اسفل الشقة سوبر ماركت ومطعم.. فقط البعد. يفضل ان تستاجر سيارة.
1523	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت ليلتين	“رائع”. . الموقع. ولاكنه بعيد من الزحمه
1541	أبيدوس للشقق الفندقية دبي لاند	2	مسافر منفرد	-	أقمت 7 ليالي	ضعيف. لم يعجبني شئ. سئ بمعنى الكلمه سوء معامله مسيطرين على الاداره المصريين والهنود استغلال ونصب لا انصخ احد ابدا بالسكن فيه
1544	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	شقة من غرفة نوم واحدة	أقمت 3 ليالي	“ممتاز للأسرة مع الاطفال”. الامان..الهدوء. .النظافة. 
1557	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	شقة من غرفة نوم واحدة	أقمت ليلتين	“الا نصح بهذا الفندق”. . دفع رسوم إضافية  المطبخ سيّء
1559	أبيدوس للشقق الفندقية دبي لاند	4	مسافر منفرد	-	أقمت ليلتين	جيد. . المسافه و البعد
1566	أبيدوس للشقق الفندقية دبي لاند	4	-	-	أقمت ليلتين	“بطاقه الفيزا”. . لم يعجبني عدم قبول الدفع بالفيزا لان صاحب الفيزا ليس موجود معنا
1580	أبيدوس للشقق الفندقية دبي لاند	4	-	-	أقمت 3 ليالي	جيد. ممتاز من حيث النظافة والهدوء والسعر. بعيد عن سنتر دبي وفي أرض صحراوية
1589	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 4 ليالي	“كل شي فيه حلو بس بعيد عن الاماكن السياحيه”. . البعد من الاماكن السياحيه لازم عندك سياره
1596	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت ليلة واحدة	“قربه من القرية العالمية”. قرب الفندق من القرية العالمية، أنهينا التسويق في القرية بوقت متأخر وكان موقعه ممتازاً لنا. الغرف واسعة والكنب جلد، المكان نظيف بشكل عام ومظهر البناية من الخارج لا يدل على شكل الشقق من الداخل فلا اعتقد انها تعقل عن بعض شقق JBR ابدا الا ان الموقع قد لا يناسب الجميع. يوجد سوبرماركت اسفل البناية ومطعم بيتزا والسعر مناسب جداً.. لا شيئ حقيقة لأن المكان فاق توقعاتي.
1597	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	-	أقمت 3 ليالي	“بعيد جدا”. النظافة ومساحة الشقة فقط. بعيد،جدا أكثر من نص ساعة دبي ياويلك لو تلخبط بالطريق يزيد المشوار 10كيلوبعيد عن كل شي
1604	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	-	أقمت 7 ليالي	“كويس على سعره لكن بعيد”. السعرالنت مقبولالمسبح والعاب الاطفالسعة الشقةكل غرفة حمام سوبر ماركت وصيدلية ومطعم تحت الفندقالمواقفالاطلالةالبلكونه. الموظفينالمناشفادوات الحمامالدش - الشاورالسرير مقبول وجيد مقابل السعر
1605	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت 7 ليالي	“جميل”. كانت الشقة جدا واسعة وجميله .. وطاقم الفندق متعاون جدا جدا . والنظافة ممتازه ..قربه من سوق الاوتليت و السوق الصيني ... واذا عندكم سيارة احسن للذهاب الى دبي مول ... وجود سوبر ماركت مع خدمة توصيل مجانية  و مطعم بيتزا لذيذ وصيدليه وواي فاي مجاني احببت الفندق عموما ...الحمدلله. صوت الإزعاج فقط من خارج الفندق ...
1610	أبيدوس للشقق الفندقية دبي لاند	4	زوج	-	أقمت 6 ليالي	“الإقامة ممتعة لولا بعد المسافة عن مركز دبي”. الهدوء و النظافة. غلاء أسعار الشقق
1622	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت ليلتين	رائع. الهدوء. الموقع بعيد عن المراكز التجارية
1635	أبيدوس للشقق الفندقية دبي لاند	4	-	-	أقمت 3 ليالي	جيد. السعر و الراحه. موقع الفندق بعيد عن الاماكن الحيويه يعني اللي ماعنده سياره لا يسكن فيهعدم وجود سيارات الاجره
1637	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت 7 ليالي	“فندق عائلي من الدرجه الاولى”. الهدوىالنظافهالخدمه الاكل ممتاز لا يوجد مشروبات كحولية. بعيد عن وسط المدينه وانصح لمن يريد السكن ان يكون مستأجر سياره كونه بعيد والمواصلات مكلفه جدا ( انا كنت مستأجر سياره عشان كذا ارتحت من المواصلات )
1644	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	شقة من غرفة نوم واحدة	أقمت 3 ليالي	“السعوديه”. الاشخاص الذين يعملون جدآ رائعين. تكلفة التنقل من الفندق الي المجمعات التجاريه والاماكن الاخري
1647	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت ليلتين	“القيمة مقابل المال - ممتاز”. الواي فاي - وتوفر مواقف. عدم وضوح الموقع - توقت الوصول والمغادر
1653	أبيدوس للشقق الفندقية دبي لاند	1	مسافر منفرد	شقة من غرفة نوم واحدة	أقمت ليلة واحدة	ضعيف جداً. . المعامله
1673	أبيدوس للشقق الفندقية دبي لاند	4	-	-	أقمت 4 ليالي	“الابداع”. كل شي. موقع الفندق
1681	أبيدوس للشقق الفندقية دبي لاند	4	-	-	أقمت 4 ليالي	“الرحابه والراحه”. كل شي تقريبا من ناحية الغرف والتكييف والنظافة والمواقف والأنترنت. مكانه بعيد عن مركز دبي و مكان الفندق والحي كامل ليس له الا مدخل واحد
1683	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت 13 ليلة	“كبر المساحة والسعر المناسب”. كبر مساحة الشقةالبعد عن ازعاج وسط المدينةوجود مواقف للسياراتوجود سوبرماركت فيها كل شيالراحة التامةقربه من الاوت لت والسوق الصيني والقرية العالميةلأنه يقع على طريق العين ويبعد تقريباً ربع ساعة بالسيارة من مول دبيانصح به للعوائل الكبيرة. لا انصح به لمن ليس معه سيارة
1685	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	شقة من غرفة نوم واحدة	أقمت 4 ليالي	“تجربه جديده”. وسع الغرفه ،مطبخ متكامل ،بلكونه وجود منشره للملابس والانترنت ممتاز والهدوء. عدم وجود احذيه للحمام - عدم وجود طاوله وكراسي في البلكونه -عدم توفر فوط للحمام السباحه - ارضية حمام السباحه زلقه -عدم وجود جهاز  DVD في الغرفه
1690	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 9 ليالي	“جيد جدآ”. الهدوء والراحة والنظافة. البعد عن المدينه يتوجب عليك أن يكون لديك سياره لا يوجد مطعم . السوبر ماركت الموجود تحت الفندق استغلالي في الأسعار لعدم وجود غيره مما يجعلك مضطر للشراء
1697	أبيدوس للشقق الفندقية دبي لاند	1	-	-	أقمت 3 ليالي	ضعيف جداً. لا شي. مادي بحت
1707	أبيدوس للشقق الفندقية دبي لاند	4	أسرة	-	أقمت 3 ليالي	رائع. وجود باص مجاني للمولات. يوحد سائق مصري متطفل يتصرف وكأنه مدير الفندق وليس مجرد سائق ويتدخل في كل شي يحدث أمامه خصوصا مع العلائلات العربية
1716	أبيدوس للشقق الفندقية دبي لاند	2	أسرة	-	أقمت 3 ليالي	مخيب للأمل. النظافة واسع خدمات تحت الفندق المسبح والفطور ممتاز. العيوب الموقع بعيد عن وسط دبي بحدود 25 كيلو وايضا خطا احد الموظفات وسحب يوم زياده بحدود 850 وابلاغنا ان المبلغ سيعود بعد خمسة ايام ولم يعد حتى الان وايضا باقي التامين بحدود 150 ريال ايضا سحب من الفيزا ولم يعد حتى الان ونتمنى من الفندق ايجاد طريقة اسرع لاعطاء كل صاحب حق حقه وشكرا ونصيحة للجميع التعامل مع الفندق بالكاش فقط 
1719	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت 5 ليالي	“اكثر هدو واجمل استجمام.. ونضافة مميزة”. ...  شكراً. بعده.. لا زم يكون لديك سيارة خاصة
1723	أبيدوس للشقق الفندقية دبي لاند	5	أسرة	-	أقمت ليلة واحدة	“ممتاز”. الهدوءالموقعالخدمةالسعرالراحة. 
1725	أبيدوس للشقق الفندقية دبي لاند	1	-	-	أقمت 6 ليالي	“فندق في وسط الصحراء”. . بعيد جدا يقع في وسط الصحراء
1733	أبيدوس للشقق الفندقية دبي لاند	2	زوج	شقة من غرفة نوم واحدة	أقمت 3 ليالي	“ااي يدور الشقى يروحله”. المهلبيه الي بالمطعم فقط . المكان الاسعار موظفة الاستقبال الفلبينيه الازعاج المطعم
1739	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلة واحدة	مخيب للأمل. . طاقم العمل موظفي الإستقبال لم يعجبوني ابداا
1740	فندق أبجرغراند	4	-	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“ايام حلوه من حياتي لولا المدير”. نظافه الغرف ومواقف السيارات كل شي جميل تقريبا عدا. فندق جميل لكن مايسيئه هو موضفو الاستقبالخاصه الرجل الهندي الذي يقول بانه المديريحاول ياخذ المال مقابل اي تاخير في تسليم الغرفه ولو كان طفيفا او تقديم الحجز واحيانا يخصم واحيانا ياخذ وكانه على كيفه ليس سعر ثابت
1741	فندق أبجرغراند	5	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	“رائع جدا”. الموقع الاستقبال النضافة والحرية. لاشيئ
1758	فندق أبجرغراند	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد. النظافة والترتيب. بعده عن وسط دبي ديرة.. واسواقها
1759	فندق أبجرغراند	5	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	“موقع جميل وسهل”. . صوت الكازينوهات عالي جدا ومزعج للنائم
1761	فندق أبجرغراند	1	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	“فندق سئ”. فندق صاخب غير مريح ...والنظافة مش ولابد ...أفضل شي موقف السيارة. فندق صاخب غير مريح ... الفرش عادي ..الحمام مش جيد
1762	فندق أبجرغراند	2	-	غرفة قياسية مزدوجة	أقمت ليلتين	ضعيف. . التكييف سيء مررره
1767	فندق أبجرغراند	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“ممتاز في اشياء”. موقع متميز قريب من محطة المترو وجميع التكاسي تعرفهالاستقبال ممتاز بابتسمتهم الجميله وتعاونهم. صوت الموسيقى مزعجه بقوه خصوصا باللوبيوكثرة السكرانيين كذلك دفعت قيمة الحجز مرتين من غير سبب
1768	فندق أبجرغراند	2	-	غرفة قياسية مفردة	أقمت ليلة واحدة	“محبطه ولن تتكرر”. . صوت الغناء  والموسيقى الصاخب في الاستقبال وحتى الغرف مما اضطرني لتبديلها مرتين وحصل خطا ودخلت غرفه يوجد بها نزلاء للأسف إدارة فاشله جدا وفندق محبط ف التوقعات للعوائل والناس المحترمه
1769	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	“سيء”. موظفي الاستقبال سيئين جدا في التعامل....تشعر بانك داخل على ممتلكات الموظف الخاصه...شكله يوحي بانه ازعر وارعن ..... موظفي الاستقبال...واليه تعاملهم
1770	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ضعيف. الموقع فقط. لا يستحق فندق اربع نجوم ازعاج البار و رائحة الفندق كريهة و تاخير في استلام و الخروج من فندق
1772	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مزدوجة	أقمت 5 ليالي	مخيب للأمل. . النظافة والإزعاج
1776	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلتين	“لا يستحق اربع نجوم”. الفندقق قريب للمطار. الفندق غير نظيف مستوى الفندق منخفض جدا رائحه الفندق سيئه
1777	فندق أبجرغراند	2	-	غرفة قياسية مزدوجة	أقمت 3 ليالي	“فاشل ولن اسكن فيه مره اخرى”. السعر وترقية من غرفة إلى سويت. ازعاج المراقص وصوت الموسيقى العالي اخر الليل
1783	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	مخيب للأمل. . مزعج
1784	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مزدوجة	أقمت 4 ليالي	ضعيف. قربه من المسجد. بصراحه الفندق جدا خايس لا تعامل ولا راحه ولا توجد لك خصوصيه في سكنك
1786	فندق أبجرغراند	2	-	غرفة قياسية مزدوجة	أقمت ليلتين	ضعيف. فقط تعامل فريق العمل كان جيد خصوصا صاحب المكان. *ازعاج من النوادي الليليه التي لا تنتهي سهراتها الا بعد ساعه 3 صباحاً*رائحه الممرات والغرفه بشعة*الواي فاي من شبه المستحيل ان يعمل على اجهزه الايفون , واضطر موظف الفندق ان يقوم بربط موبايلي على وايفاي المطعم الموجود بالفندق وكان النت بطيئ جدا جدا*كثرة الاشكال الغريبه بالفندق*قلة مرور التكاسي بجانب الفندق حيث يلزمك الذهاب للبوابه الخلفية للفندق بجانب السوق لتجد تاكسي*قوانين غريبه مثل الابقاء على هويتك لديهم حتى صباح اليوم الثاني !*اللف والدوران عند اخذ مبلغ الحجز , يوهمونك بترقيه الغرفه وبطيخ وفي النهايه النتيجه واحده الفرق اخذ مبلغ زياده
1787	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	“تجربة سيئة في الفندق”. القرب من المطار. الأسعار المرتفعةالتأخير في تلبية الطلبات المعتادةالإزعاج من الموظقين في الممراتالضوضاء والضجيج الإفطار فقير جداً
1788	فندق أبجرغراند	2	-	غرفة قياسية مزدوجة	أقمت ليلة واحدة	مخيب للأمل. . الملاهي اليليه
1794	فندق أبجرغراند	1	-	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ضعيف جداً. السرير مريح وغير ذاك غير مريح. المكان غير نظيف لوجود حشرات في الغرفة و دورة المياه الاخوة غير العرب ف الاستقبال افضل من العرب ف التعامل الازعاج من صوت المراقص حتى الفجروعدم وجود اتجاه القبلة ف الغرفة
1797	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	ضعيف. . وجود مرقص بالفندقوجود الخمور في الثلاجةالمرقص إزعااااااج
1799	فندق أبجرغراند	1	زوج	-	أقمت 3 ليالي	ضعيف جداً. لا شئ الفندق زباله. المراقص والخمور والإفطار سئ جداً والنت ضعيف جداً والنزلاء جميعهم أجانب نحن الوحيدون عرب
1801	فندق أبجرغراند	2	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ضعيف. طاقم العمل. صخب الديسكو وازدحام كثير ع مدخل الفندق من الذين يدخلون الديسكو وكل الفندق ريحة زجائر وحتى الغرفة ريحة الزجائر قوية جدا رغم اني اخترت غرفة لغير المدخنين.لا انصح به وخاصة لايصلح ابدا ابدا للعوائل، ولا يستاهل نجمة.
1805	فندق أبجرغراند	2	أسرة	غرفة قياسية مزدوجة	أقمت 7 ليالي	“لم تكن مريحة”. . وجود صراصير والأثاث قديم والنت كل يوم لازم تأخذ باس والتلفزيون مشوش
1809	فندق أبجرغراند	2	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“فندق مزعج جدا جدا جدا”. nothing. ازعاااااااج لا يطاق صوت سحب اثاث وتصليح في الفندق ماخلانا ننام ابدا صوت عالي جدا وواضح وبعد ماخلصوا بدأت صوت الاغاني الى بعد الفجر دقينا على الريسبشن اكثر من مره وقلنا لهم على الازعاج ولا اهتموا مع علمهم بذلك. لا انصح به للعوائل او اي شخص يبي ينام ويرتاح لانه واضح انه حق السهر و حياه الليل
1816	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مفردة	أقمت 5 ليالي	“اللي يحب رائحة الأكل وكأنك بالمطبخ يستأجر”. الموقع بالنسبة لعملي. رائحة المكان سيئة جدا حتى في ممرات اطررت اغير غرفتي بسبب رائحة الكل وهي طبعا بسبب المطعم والمقهى الهندي السيئ جداً جدا. . الإزعاج في الليل من المقهى والمرقص والصوت في كل مكان لا يوجد عوازل حتى اصوات الغرف اللي فوق كأنه عندك اضطررت اشتري معطرات للجو والمفارش وانا والله مجبر عليه لقربه لعملي ولكن اخر مره لو اسكن بعيد واتعب كذا
1817	فندق أبجرغراند	4	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	“يستحق الزياره”. نظيف وخدمات جميله وطاقم استقبال رائع. نوع ما بعيد عن الاسواق
1819	فندق أبجرغراند	2	أسرة	غرفة قياسية مزدوجة	أقمت 3 ليالي	“اسوء فندق اقمت به في دبي”. الموقع قريب من المطار. توجد حشرات في الغرف، بالاضافه لوجود صرصور،في الحمام كما ان خدمة الغرف اسوء مما يمكن تخيله.. لقد وجدت بقايا اكل في الغرف من الساكن الموجود قبلي..!!!!! لن اجربه مره اخري
1821	فندق أبجرغراند	2	-	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“،،،،”. اسلوب بعض طاقم الفندق. رائحة الغرفة كله زجاير و السجاد كله شعر و الواي فاي وما ادراك ما الواي فاي الي اول ما وصلنا الفندق خبرونا انه صاير فيه مشكلة و راح يكون شغال بعد 10 دقايق و طبعاً مثل م توقعت طول فترة اقامتنا كان ضعيف صراحة وكله يقطع ..
1824	فندق أبجرغراند	2	أسرة	-	أقمت ليلتين	“اسوء من السيء”. لا شي مثيرلم اتوقع ان بهذا الفندق مراقص وبار. البار والمراقصلم اتوقع حتى الخمور في ثلاجة الغرفةاصلي الفجر واطلب من الرسبشن الاتصال بالمرقص لايقافهم
1827	فندق أبجرغراند	2	أسرة	غرفة قياسية مزدوجة	أقمت ليلتين	ضعيف. الخدمة ضعيفه والنظافه ليس بمستوى الفندق. 
1829	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت 9 ليالي	“بعيد عن المناطك السياحية”. . ازعاج مع الصيانه لم نستطيع النوم من بعد الفجر الى الظهر النظامه رديئة جداوجود حشرات مثل الصراصيرالتهويه غير جيدة
1833	فندق أبجرغراند	2	مسافر منفرد	-	أقمت 4 ليالي	ضعيف. اعجبني تعامل وتعاون موظف الريسبشن المغربيوسرعة الشيك إن  والشيك اوت وقربه من سوق ابو هيل. ازعاج واصوات الأغاني الى 6 الصباح ووجود روائح الأكل في الممرات وعدم تخصيص مواقف السيارات للنزلاء فقط
1835	فندق أبجرغراند	2	-	غرفة قياسية مزدوجة	أقمت ليلتين	ضعيف. لا شيء. غرفه غير نظيفة تطل على وسط الفندق على مطعم هندي انواع الروائح وحاولت التغيير دون جدوى ولحسن الحظ لم احجز الا يوم واحد اثاث متهالك جدا حتى الدولاب تفتحه بصعوبه باختصار تجربه سيئة لن اكررها
1836	فندق أبجرغراند	2	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلتين	“لا يصلح ان يكون فندق  ضعيف جداً في كل مستوي   النت”. فقط السعر مناسب علماً  لم ينتظمو معكم  مثل انا حاجز الليله 19دكواخذو منو  الضريبه علماً  لم اجد لها اي تفسير. لم نجد الراحه في الفندق  ازعاج المقهي  وصوت الموسيقي  يصل الي الغرفه
1838	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	مخيب للأمل. فقط شيء واحد وهو قربة من المطار. الزحام الشديد على المواقفلايناسب العوائل وذلك بسبب ازعاج الديسكو حتى ان الغرفة لايوجد بها عزل وتسمع اصوات السيارات من الخارجاثاث الغرفة المتواضع كلمة حق ماتستاهل اربع نجوم
1840	فندق أبجرغراند	1	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“سيئ جدا”. لاشي. موظف الاستقبال استغلالي عند خروجي من الفندق طلب زيادة الاجرة 150 على نص ساعه بصراحه لا انصح احد بالذهاب الى هذا الفندق وغير صالح للعائلات .
1843	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	“الخدمة لا تقابل المال”. المواقف و الانترنت. ازعاج الملهى الليلي + الخمور + عدم توفير سرير للطفل رغم الحجز و الطلب + النظافة دون المستوى + بعض مرافق الغرفة و دورة المياه لا تعمل + الغرفة ضيقة + الشيخ موسى زعلان
1844	فندق أبجرغراند	2	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“فندق الصراصير و الإزعاج....cockroach and noisey hotel”. No thingلا شئ. Very high noisey music at night from night clubA lot of cockroach in the room and the toilet...simply very dirty hotelازعاج أثناء الليل من النوادي الليلية و ووجود الكثير من الصراصير في الغرفة..لا أنصح به بشششدة
1848	فندق أبجرغراند	2	أسرة	غرفة قياسية مزدوجة	أقمت 7 ليالي	“لا يستحق الزيارة مرة اخرى”. النظافةمواقف السيارات. ازعاج المراقص النت ضعيف ويقطع باستمراروجود الخمور في ثلاجات الغرف
1852	فندق أبجرغراند	5	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	استثنائي. كل شي خصوصا اغراض الحمام. ما لاحظت شيء
1856	فندق أبجرغراند	1	مسافر منفرد	غرفة قياسية مفردة	أقمت ليلة واحدة	“فندق لايستحق ولانجمة”. . كل شيئ قذر ووسخ ومتهالك رائحة نتنة في كل مكانمضاربات ومشاكل من قبل حراس الامن  مع زبائن النوادي اللليلية لان معظمهم هنود وسودلايوجد نت في مكان في الفندقالحمامات والشراشف قذرة جدا جدا جداالمكان كله قمة في القذارة والتهالك
1863	فندق أبجرغراند	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ممتاز. تعامل موظفين الاستقبالنظافة الفندقالموقع. الحجوزات التأخير في استلام الغرفة حيث قمت بالحجز قبل أسبوع ولكن حجري لم يكن موجود لديهم
